"Accipiter_gentilis","Acrocephalus_arundinaceus","Acrocephalus_palustris","Acrocephalus_scirpaceus","Aegithalos_caudatus","Alauda_arvensis","Anthus_trivialis","Apus_apus","Buteo_buteo","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Certhia_brachydactyla","Certhia_familiaris","Coccothraustes_coccothraustes","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corax","Corvus_corone","Cuculus_canorus","Parus_caeruleus","Delichon_urbicum","Dendrocopos_major","Dendrocopos_medius","Dryocopus_martius","Emberiza_citrinella","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Ficedula_hypoleuca","Fringilla_coelebs","Garrulus_glandarius","Hippolais_icterina","Hirundo_rustica","Lanius_collurio","Locustella_naevia","Parus_cristatus","Luscinia_megarhynchos","Miliaria_calandra","Motacilla_alba","Motacilla_flava","Muscicapa_striata","Oriolus_oriolus","Parus_major","Passer_domesticus","Passer_montanus","Parus_ater","Phoenicurus_ochruros","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Phylloscopus_trochilus","Pica_pica","Picus_viridis","Parus_palustris","Prunella_modularis","Regulus_ignicapilla","Saxicola_torquatus","Serinus_serinus","Sitta_europaea","Streptopelia_decaocto","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos","site"
0,0,0,0,0,0,0,15,0,0,1,2,0,0,0,1,0,18,0,10,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,162,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,1,0,27,0,"BE10"
0,0,0,0,1,0,0,21,0,0,1,11,11,0,0,0,0,23,0,11,0,25,0,8,0,0,0,0,9,0,0,4,1,0,0,0,0,0,7,0,2,0,0,0,39,121,5,0,5,7,4,0,1,4,1,0,1,2,0,5,3,0,13,26,0,0,4,10,37,0,"BE11"
0,0,0,0,0,0,0,4,0,0,0,7,4,0,0,5,0,17,0,2,0,18,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,56,4,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,11,10,0,0,0,4,30,1,"BE12"
0,3,0,4,2,0,0,0,1,0,2,2,3,0,1,0,5,10,0,10,2,19,0,10,7,1,0,1,14,0,0,30,3,0,10,0,0,0,9,0,1,0,1,2,19,2,0,1,0,0,13,1,1,0,1,2,0,1,0,0,21,0,36,28,1,1,0,14,27,11,"BE13"
0,0,0,0,2,2,11,0,1,1,1,6,2,0,1,0,0,5,1,6,1,18,0,4,0,0,20,0,10,0,1,18,3,2,0,7,2,0,20,0,2,0,1,2,35,18,4,0,1,6,13,0,15,1,1,0,1,0,0,0,1,0,6,24,5,4,1,5,54,11,"BE14"
0,2,5,5,0,9,1,0,0,1,1,2,4,0,1,0,0,2,0,1,1,7,0,4,0,0,8,14,5,0,0,9,1,1,0,4,1,0,3,0,1,3,2,3,10,0,2,0,2,2,5,0,1,0,0,0,0,0,1,0,1,0,6,7,0,0,0,3,13,3,"be15"
0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,16,0,4,0,20,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,0,0,0,0,0,46,104,6,0,7,11,7,0,0,4,0,0,1,4,0,4,0,0,19,14,0,0,7,6,39,1,"BE16"
0,0,3,0,0,21,0,0,0,3,3,6,0,0,0,0,0,7,0,4,3,4,0,0,0,0,14,0,0,0,0,2,2,5,0,2,2,0,6,8,0,0,0,0,17,0,4,0,0,0,4,0,14,2,1,0,0,0,2,0,0,0,10,12,3,23,3,0,14,5,"BE17"
1,0,4,0,2,1,0,3,0,1,1,8,1,0,0,1,0,13,1,8,1,18,2,3,0,0,4,1,4,1,0,0,0,1,1,2,2,1,18,0,2,0,1,0,28,88,8,0,4,12,9,0,4,5,0,0,3,1,0,7,0,0,17,15,3,0,4,5,49,1,"BE18"
0,0,0,2,0,0,0,12,0,0,4,13,3,0,1,0,0,15,0,10,0,15,0,3,0,0,0,0,4,0,4,0,3,2,0,0,0,0,5,0,0,0,3,0,18,90,8,0,6,9,3,0,3,7,1,0,1,0,0,4,3,6,34,7,3,1,4,2,32,4,"BE19"
2,0,0,0,1,0,0,0,0,0,0,0,11,6,15,0,2,12,1,2,1,33,0,36,1,2,0,0,35,0,6,71,5,0,0,0,0,5,0,0,0,0,2,0,29,0,0,3,0,0,1,24,0,0,1,0,0,7,0,0,29,0,2,9,0,0,0,36,30,14,"BE2"
0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,4,0,6,0,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,71,1,0,1,3,0,0,0,4,0,0,0,0,0,1,1,0,5,6,0,0,2,0,14,0,"BE20"
1,0,0,1,2,0,0,3,0,0,2,7,11,0,8,0,0,15,0,4,0,44,0,8,0,0,0,0,13,0,0,24,1,0,0,0,0,0,8,0,0,0,4,0,29,5,1,0,3,13,14,6,0,0,1,0,5,3,0,15,6,0,19,20,0,0,3,15,54,6,"BE21"
0,0,0,0,1,0,0,5,0,0,3,10,5,0,0,15,0,18,0,4,0,14,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,19,62,0,0,19,5,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,0,3,1,27,0,"BE22"
0,0,0,0,0,0,0,5,0,0,3,3,3,0,0,13,0,18,0,6,0,12,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18,71,0,0,21,3,0,0,0,3,0,0,0,0,0,1,0,0,4,4,0,0,1,0,26,0,"BE23"
0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,11,0,11,0,15,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,174,0,0,4,3,0,0,0,2,0,0,0,0,0,0,3,0,9,8,0,0,1,1,27,0,"BE24"
0,0,0,0,3,0,0,12,0,0,1,19,0,0,0,0,0,10,0,5,0,18,0,2,0,0,0,0,1,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,25,65,5,0,2,9,5,2,0,2,1,0,1,2,0,2,0,0,7,10,0,0,0,0,18,1,"BE25"
0,0,0,0,1,0,0,0,0,0,0,6,10,0,0,2,0,13,0,2,0,16,0,6,0,0,0,0,5,1,0,8,0,0,0,0,0,0,2,0,0,0,2,0,39,115,0,0,2,5,1,0,0,0,1,0,0,0,0,1,4,0,19,10,0,0,3,5,26,0,"BE26"
0,0,0,0,1,0,0,19,0,3,0,11,4,0,2,1,0,17,0,14,0,26,0,3,0,0,1,0,3,1,1,1,2,0,0,0,0,2,7,0,1,0,0,0,36,65,12,0,3,9,1,1,2,9,1,0,1,0,0,5,0,0,12,3,0,2,4,1,24,1,"BE27"
0,0,0,1,0,0,0,0,1,0,2,0,9,2,3,0,3,6,0,0,0,31,0,11,0,1,0,0,25,0,8,46,4,0,0,0,0,4,0,0,1,0,1,0,28,0,0,0,0,1,2,4,0,0,0,3,0,6,0,0,18,0,3,11,0,0,0,9,14,9,"BE28"
0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,3,0,15,0,12,0,11,0,2,0,0,0,0,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,13,56,14,0,10,5,0,0,0,9,0,0,0,0,0,0,1,0,18,6,2,0,5,0,41,0,"BE29"
0,2,0,0,0,0,1,0,0,0,1,5,9,1,3,2,0,5,1,1,0,23,0,9,0,0,7,0,10,0,9,21,2,0,7,0,0,7,3,0,0,0,0,0,29,22,5,4,1,8,11,8,0,2,0,0,1,2,0,4,5,0,7,12,0,0,3,9,25,7,"BE3"
0,0,0,0,1,1,0,0,0,0,1,9,1,0,0,0,0,18,0,2,0,11,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,22,78,15,0,1,9,1,0,0,2,1,0,1,0,0,0,0,0,2,13,1,0,7,6,46,1,"BE30"
0,0,0,0,4,0,0,0,0,0,0,6,10,0,5,0,1,19,0,8,0,44,0,22,0,1,0,0,17,0,7,36,5,0,0,0,0,0,0,0,0,0,0,1,52,14,7,3,2,7,3,0,0,0,1,1,0,12,0,0,23,0,8,13,0,0,3,26,40,14,"BE4"
0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,11,0,7,0,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6,116,0,0,5,0,0,0,0,10,0,0,0,0,0,2,0,0,5,0,0,0,0,0,11,0,"BE5"
0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,9,0,10,0,8,0,22,1,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,76,0,0,2,5,0,0,0,5,1,0,0,0,0,3,0,0,8,8,0,0,1,1,16,1,"BE6"
0,0,0,0,0,0,0,37,0,0,2,8,4,0,0,8,0,32,0,22,0,23,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,22,279,3,0,5,2,0,1,1,7,0,0,0,0,0,0,1,0,11,10,0,0,1,0,51,1,"BE7"
0,0,0,0,0,0,0,0,0,0,6,9,2,0,0,4,0,12,0,13,0,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,14,73,7,0,6,6,2,0,0,6,0,0,0,0,0,4,0,0,7,5,0,0,3,2,22,0,"BE8"
0,0,0,3,0,0,0,0,0,0,0,0,12,6,7,0,1,5,0,1,1,29,0,19,1,1,0,0,22,0,3,55,4,0,0,0,0,6,1,0,0,0,1,0,27,0,0,5,0,2,3,13,1,0,0,10,0,5,0,0,14,0,2,14,0,0,0,14,17,5,"BE9"
