,ch,sex,habitat,infected
1,0000001,Female,rural,No
2,0000001,Female,rural,NA
3,0000001,Female,rural,NA
4,0000001,Female,rural,NA
5,0000001,Female,rural,NA
6,0000001,Female,rural,No
7,0000001,Female,rural,Yes
8,0000001,Female,rural,NA
9,0000001,Female,rural,No
10,0000001,Female,rural,Yes
11,0000001,Female,rural,Yes
12,0000001,Female,rural,No
13,0000001,Female,rural,Yes
14,0000001,Female,rural,NA
15,0000001,Female,rural,Yes
16,0000001,Female,rural,No
17,0000001,Female,rural,No
18,0000001,Female,rural,Yes
19,0000001,Female,rural,Yes
20,0000001,Female,rural,NA
21,0000001,Female,rural,NA
22,0000001,Female,rural,No
23,0000001,Male,rural,No
24,0000001,Male,rural,Yes
25,0000001,Male,rural,Yes
26,0000001,Male,rural,No
27,0000001,Male,rural,No
28,0000001,Male,rural,No
29,0000001,Male,rural,Yes
30,0000001,Male,rural,No
31,0000001,Male,rural,No
32,0000001,Male,rural,NA
33,0000001,Male,rural,No
34,0000001,Male,rural,Yes
35,0000001,Male,rural,Yes
36,0000001,Male,rural,Yes
37,0000001,Male,rural,No
38,0000001,Male,rural,No
39,0000001,Male,rural,NA
40,0000010,Female,rural,Yes
41,0000010,Female,rural,Yes
42,0000010,Female,rural,No
43,0000010,Female,rural,Yes
44,0000010,Female,rural,No
45,0000010,Female,rural,Yes
46,0000010,Female,rural,No
47,0000010,Female,rural,No
48,0000010,Female,rural,No
49,0000010,Female,rural,NA
50,0000010,Female,rural,NA
51,0000010,Female,rural,NA
52,0000010,Male,rural,Yes
53,0000010,Male,rural,No
54,0000010,Male,rural,Yes
55,0000010,Male,rural,No
56,0000010,Male,rural,Yes
57,0000010,Male,rural,Yes
58,0000010,Male,rural,No
59,0000010,Male,rural,No
60,0000010,Male,rural,Yes
61,0000010,Male,rural,NA
62,0000010,Male,rural,Yes
63,0000011,Female,rural,No
64,0000011,Female,rural,Yes
65,0000011,Female,rural,NA
66,0000011,Female,rural,No
67,0000011,Female,rural,No
68,0000011,Female,rural,NA
69,0000011,Female,rural,Yes
70,0000011,Female,rural,Yes
71,0000011,Female,rural,NA
72,0000011,Female,rural,Yes
73,0000011,Female,rural,Yes
74,0000011,Male,rural,No
75,0000011,Male,rural,NA
76,0000011,Male,rural,Yes
77,0000011,Male,rural,NA
78,0000011,Male,rural,Yes
79,0000011,Male,rural,No
80,0000011,Male,rural,NA
81,0000011,Male,rural,Yes
82,0000011,Male,rural,No
83,0000011,Male,rural,Yes
84,0000011,Male,rural,NA
85,0000011,Male,rural,No
86,0000100,Female,rural,NA
87,0000100,Female,rural,No
88,0000100,Female,rural,Yes
89,0000100,Female,rural,NA
90,0000100,Female,rural,No
91,0000100,Female,rural,NA
92,0000100,Female,rural,NA
93,0000100,Male,rural,No
94,0000100,Male,rural,No
95,0000100,Male,rural,No
96,0000100,Male,rural,Yes
97,0000100,Male,rural,Yes
98,0000100,Male,rural,NA
99,0000100,Male,rural,NA
100,0000100,Male,rural,Yes
101,0000100,Male,rural,NA
102,0000110,Female,rural,NA
103,0000110,Female,rural,No
104,0000110,Female,rural,No
105,0000110,Female,rural,No
106,0000110,Female,rural,NA
107,0000110,Female,rural,No
108,0000110,Male,rural,No
109,0000110,Male,rural,Yes
110,0000110,Male,rural,No
111,0000100,Female,rural,Yes
112,0000100,Female,rural,NA
113,0000111,Female,rural,Yes
114,0000100,Female,rural,NA
115,0000110,Female,rural,NA
116,0000100,Female,rural,No
117,0000111,Male,rural,NA
118,0000111,Male,rural,No
119,0000111,Male,rural,Yes
120,0000111,Male,rural,No
121,0000111,Male,rural,No
122,0000100,Male,rural,No
123,0000111,Male,rural,NA
124,0000111,Male,rural,No
125,0000111,Male,rural,Yes
126,0000111,Male,rural,No
127,0001000,Female,rural,NA
128,0001000,Female,rural,No
129,0001000,Female,rural,No
130,0001000,Female,rural,NA
131,0001000,Female,rural,No
132,0001000,Female,rural,Yes
133,0001000,Female,rural,NA
134,0001000,Female,rural,No
135,0001000,Female,rural,Yes
136,0001000,Female,rural,NA
137,0001000,Male,rural,No
138,0001000,Male,rural,No
139,0001000,Male,rural,No
140,0001000,Male,rural,NA
141,0001000,Male,rural,NA
142,0001000,Male,rural,NA
143,0001001,Female,rural,Yes
144,0001001,Male,rural,Yes
145,0001010,Female,rural,NA
146,0001100,Female,rural,NA
147,0001100,Female,rural,Yes
148,0001000,Female,rural,NA
149,0001100,Female,rural,NA
150,0001100,Female,rural,NA
151,0001100,Male,rural,Yes
152,0001100,Male,rural,Yes
153,0001100,Male,rural,Yes
154,0001100,Male,rural,No
155,0001100,Male,rural,No
156,0001100,Male,rural,Yes
157,0001110,Female,rural,Yes
158,0001110,Female,rural,NA
159,0001100,Female,rural,NA
160,0001110,Female,rural,Yes
161,0001110,Male,rural,NA
162,0001110,Male,rural,Yes
163,0001110,Male,rural,Yes
164,0001111,Female,rural,NA
165,0001111,Female,rural,Yes
166,0001111,Male,rural,Yes
167,0001111,Male,rural,No
168,0001111,Male,rural,NA
169,0001111,Male,rural,No
170,0001111,Male,rural,Yes
171,0001111,Male,rural,Yes
172,0010000,Female,rural,No
173,0010000,Female,rural,No
174,0010000,Female,rural,Yes
175,0010000,Female,rural,Yes
176,0010000,Female,rural,NA
177,0010000,Female,rural,No
178,0010000,Female,rural,No
179,0010000,Female,rural,Yes
180,0010000,Female,rural,Yes
181,0010000,Female,rural,Yes
182,0010000,Female,rural,NA
183,0010000,Female,rural,Yes
184,0010000,Female,rural,No
185,0010000,Female,rural,NA
186,0010000,Female,rural,NA
187,0010000,Female,rural,No
188,0010000,Female,rural,Yes
189,0010000,Female,rural,No
190,0010000,Male,rural,NA
191,0010000,Male,rural,NA
192,0010000,Male,rural,NA
193,0010000,Male,rural,No
194,0010000,Male,rural,No
195,0010000,Male,rural,Yes
196,0010000,Male,rural,Yes
197,0010000,Male,rural,NA
198,0010000,Male,rural,No
199,0010000,Male,rural,Yes
200,0010000,Male,rural,NA
201,0010110,Male,rural,No
202,0011000,Female,rural,Yes
203,0011000,Female,rural,Yes
204,0011000,Female,rural,No
205,0011000,Female,rural,Yes
206,0011000,Male,rural,No
207,0011000,Male,rural,No
208,0011000,Male,rural,NA
209,0011000,Male,rural,Yes
210,0011000,Male,rural,Yes
211,0011000,Male,rural,No
212,0011000,Male,rural,Yes
213,0011000,Male,rural,NA
214,0011100,Female,rural,Yes
215,0011100,Female,rural,Yes
216,0011100,Male,rural,NA
217,0011100,Male,rural,No
218,0011100,Male,rural,No
219,0011100,Male,rural,NA
220,0011000,Female,rural,No
221,0011110,Male,rural,No
222,0011111,Female,rural,No
223,0011111,Female,rural,NA
224,0100000,Female,rural,Yes
225,0100000,Female,rural,No
226,0100000,Female,rural,NA
227,0100000,Female,rural,Yes
228,0100000,Female,rural,No
229,0100000,Female,rural,Yes
230,0100000,Female,rural,Yes
231,0100000,Female,rural,NA
232,0100000,Female,rural,Yes
233,0100000,Female,rural,No
234,0100000,Female,rural,No
235,0100000,Female,rural,NA
236,0100000,Female,rural,NA
237,0100000,Female,rural,Yes
238,0100000,Female,rural,No
239,0100000,Female,rural,NA
240,0100000,Female,rural,NA
241,0100000,Female,rural,No
242,0100000,Male,rural,NA
243,0100000,Male,rural,No
244,0100000,Male,rural,No
245,0100000,Male,rural,NA
246,0100000,Male,rural,NA
247,0100000,Male,rural,Yes
248,0100000,Male,rural,No
249,0100000,Male,rural,NA
250,0100000,Male,rural,NA
251,0100000,Male,rural,Yes
252,0100000,Male,rural,No
253,0110000,Female,rural,No
254,0110000,Female,rural,Yes
255,0110000,Female,rural,Yes
256,0110000,Female,rural,No
257,0110000,Male,rural,Yes
258,0110000,Male,rural,NA
259,0110000,Male,rural,No
260,0110000,Male,rural,NA
261,0110000,Male,rural,No
262,0110000,Male,rural,No
263,0110000,Male,rural,Yes
264,0110110,Female,rural,No
265,0111000,Female,rural,No
266,0111000,Male,rural,NA
267,0111100,Female,rural,Yes
268,0111100,Female,rural,NA
269,0111100,Male,rural,No
270,0100000,Female,rural,No
271,0111111,Female,rural,Yes
272,0111111,Female,rural,Yes
273,1000000,Female,rural,No
274,1000000,Female,rural,Yes
275,1000000,Female,rural,No
276,1000000,Female,rural,No
277,1000000,Male,rural,NA
278,1000000,Male,rural,NA
279,1000000,Male,rural,No
280,1000000,Male,rural,NA
281,1000000,Male,rural,Yes
282,1010000,Female,rural,NA
283,1010000,Male,rural,Yes
284,1100000,Female,rural,NA
285,1100000,Female,rural,Yes
286,1100000,Male,rural,NA
287,1100000,Male,rural,No
288,1100000,Male,rural,NA
289,1100000,Male,rural,NA
290,1101110,Female,rural,Yes
291,1111000,Female,rural,Yes
292,1111000,Male,rural,Yes
293,1111100,Female,rural,Yes
294,1111110,Male,rural,NA
295,0000001,Female,urban,No
296,0000001,Female,urban,Yes
297,0000001,Female,urban,NA
298,0000001,Female,urban,No
299,0000001,Female,urban,Yes
300,0000001,Female,urban,NA
301,0000001,Female,urban,Yes
302,0000001,Female,urban,Yes
303,0000001,Female,urban,NA
304,0000001,Female,urban,NA
305,0000001,Female,urban,NA
306,0000001,Female,urban,Yes
307,0000001,Female,urban,No
308,0000001,Female,urban,No
309,0000001,Female,urban,No
310,0000001,Female,urban,NA
311,0000001,Female,urban,Yes
312,0000001,Female,urban,NA
313,0000001,Female,urban,NA
314,0000001,Female,urban,No
315,0000001,Female,urban,NA
316,0000001,Female,urban,NA
317,0000001,Male,urban,NA
318,0000001,Male,urban,No
319,0000001,Male,urban,No
320,0000001,Male,urban,Yes
321,0000001,Male,urban,NA
322,0000001,Male,urban,NA
323,0000001,Male,urban,No
324,0000001,Male,urban,No
325,0000001,Male,urban,Yes
326,0000001,Male,urban,Yes
327,0000001,Male,urban,NA
328,0000001,Male,urban,Yes
329,0000001,Male,urban,Yes
330,0000001,Male,urban,NA
331,0000001,Male,urban,Yes
332,0000001,Male,urban,Yes
333,0000001,Male,urban,NA
334,0000010,Female,urban,No
335,0000010,Female,urban,Yes
336,0000010,Female,urban,Yes
337,0000010,Female,urban,Yes
338,0000010,Female,urban,Yes
339,0000010,Female,urban,NA
340,0000010,Female,urban,Yes
341,0000010,Female,urban,Yes
342,0000010,Female,urban,No
343,0000010,Female,urban,NA
344,0000010,Female,urban,Yes
345,0000010,Female,urban,NA
346,0000010,Male,urban,Yes
347,0000010,Male,urban,Yes
348,0000010,Male,urban,No
349,0000010,Male,urban,Yes
350,0000010,Male,urban,Yes
351,0000010,Male,urban,NA
352,0000010,Male,urban,NA
353,0000010,Male,urban,No
354,0000010,Male,urban,No
355,0000010,Male,urban,Yes
356,0000010,Male,urban,Yes
357,0000011,Female,urban,No
358,0000011,Female,urban,NA
359,0000011,Female,urban,No
360,0000011,Female,urban,Yes
361,0000011,Female,urban,NA
362,0000011,Female,urban,NA
363,0000011,Female,urban,Yes
364,0000011,Female,urban,No
365,0000011,Female,urban,No
366,0000011,Female,urban,NA
367,0000011,Female,urban,NA
368,0000011,Male,urban,NA
369,0000011,Male,urban,NA
370,0000011,Male,urban,NA
371,0000011,Male,urban,NA
372,0000011,Male,urban,NA
373,0000011,Male,urban,No
374,0000011,Male,urban,No
375,0000011,Male,urban,Yes
376,0000011,Male,urban,NA
377,0000011,Male,urban,Yes
378,0000011,Male,urban,Yes
379,0000011,Male,urban,No
380,0000100,Female,urban,No
381,0000100,Female,urban,Yes
382,0000100,Female,urban,No
383,0000100,Female,urban,NA
384,0000100,Female,urban,NA
385,0000100,Female,urban,NA
386,0000100,Female,urban,NA
387,0000100,Male,urban,Yes
388,0000100,Male,urban,NA
389,0000100,Male,urban,Yes
390,0000100,Male,urban,Yes
391,0000100,Male,urban,Yes
392,0000100,Male,urban,No
393,0000100,Male,urban,NA
394,0000100,Male,urban,Yes
395,0000100,Male,urban,Yes
396,0000110,Female,urban,NA
397,0000110,Female,urban,No
398,0000110,Female,urban,No
399,0000110,Female,urban,No
400,0000110,Female,urban,Yes
401,0000110,Female,urban,Yes
402,0000110,Male,urban,NA
403,0000110,Male,urban,No
404,0000110,Male,urban,Yes
405,0000111,Female,urban,Yes
406,0000111,Female,urban,No
407,0000111,Female,urban,NA
408,0000111,Female,urban,Yes
409,0000111,Female,urban,No
410,0000111,Female,urban,NA
411,0000111,Male,urban,NA
412,0000111,Male,urban,Yes
413,0000111,Male,urban,NA
414,0000111,Male,urban,No
415,0000111,Male,urban,No
416,0000111,Male,urban,Yes
417,0000111,Male,urban,No
418,0000111,Male,urban,Yes
419,0000111,Male,urban,NA
420,0000111,Male,urban,Yes
421,0001000,Female,urban,NA
422,0001000,Female,urban,Yes
423,0001000,Female,urban,No
424,0001000,Female,urban,Yes
425,0001000,Female,urban,NA
426,0001000,Female,urban,NA
427,0001000,Female,urban,NA
428,0001000,Female,urban,No
429,0001000,Female,urban,No
430,0001000,Female,urban,NA
431,0001000,Male,urban,Yes
432,0001000,Male,urban,No
433,0001000,Male,urban,NA
434,0001000,Male,urban,Yes
435,0001000,Male,urban,NA
436,0001000,Male,urban,Yes
437,0001001,Female,urban,Yes
438,0001001,Male,urban,NA
439,0001011,Female,urban,No
440,0001100,Female,urban,Yes
441,0001100,Female,urban,No
442,0001100,Female,urban,NA
443,0001100,Female,urban,NA
444,0001100,Female,urban,NA
445,0001100,Male,urban,Yes
446,0001100,Male,urban,NA
447,0001100,Male,urban,NA
448,0001100,Male,urban,No
449,0001100,Male,urban,NA
450,0001100,Male,urban,Yes
451,0001110,Female,urban,NA
452,0001110,Female,urban,Yes
453,0001110,Female,urban,NA
454,0001110,Female,urban,NA
455,0001110,Male,urban,NA
456,0001110,Male,urban,No
457,0001110,Male,urban,NA
458,0001111,Female,urban,Yes
459,0001111,Female,urban,Yes
460,0001111,Male,urban,NA
461,0001111,Male,urban,NA
462,0001111,Male,urban,Yes
463,0001111,Male,urban,No
464,0001111,Male,urban,No
465,0001111,Male,urban,NA
466,0010000,Female,urban,NA
467,0010000,Female,urban,NA
468,0010000,Female,urban,NA
469,0010000,Female,urban,No
470,0010000,Female,urban,NA
471,0010000,Female,urban,No
472,0010000,Female,urban,Yes
473,0010000,Female,urban,No
474,0010000,Female,urban,Yes
475,0010000,Female,urban,No
476,0010000,Female,urban,No
477,0010000,Female,urban,Yes
478,0010000,Female,urban,No
479,0010000,Female,urban,NA
480,0010000,Female,urban,NA
481,0010000,Female,urban,No
482,0010000,Female,urban,No
483,0010000,Female,urban,Yes
484,0010000,Male,urban,NA
485,0010000,Male,urban,No
486,0010000,Male,urban,NA
487,0010000,Male,urban,NA
488,0010000,Male,urban,Yes
489,0010000,Male,urban,No
490,0010000,Male,urban,NA
491,0010000,Male,urban,Yes
492,0010000,Male,urban,No
493,0010000,Male,urban,NA
494,0010000,Male,urban,Yes
495,0010110,Male,urban,NA
496,0011000,Female,urban,Yes
497,0011000,Female,urban,NA
498,0011000,Female,urban,NA
499,0011000,Female,urban,NA
500,0011000,Male,urban,NA
501,0011000,Male,urban,NA
502,0011000,Male,urban,Yes
503,0011000,Male,urban,Yes
504,0011000,Male,urban,Yes
505,0011000,Male,urban,Yes
506,0011000,Male,urban,Yes
507,0011000,Male,urban,No
508,0011100,Female,urban,Yes
509,0011100,Female,urban,No
510,0011100,Male,urban,NA
511,0011100,Male,urban,NA
512,0011100,Male,urban,NA
513,0011100,Male,urban,NA
514,0011110,Female,urban,No
515,0011110,Male,urban,NA
516,0011111,Female,urban,No
517,0011100,Female,urban,No
518,0100000,Female,urban,No
519,0100000,Female,urban,No
520,0100000,Female,urban,NA
521,0100000,Female,urban,Yes
522,0100000,Female,urban,NA
523,0100000,Female,urban,No
524,0100000,Female,urban,Yes
525,0100000,Female,urban,NA
526,0100000,Female,urban,Yes
527,0100000,Female,urban,Yes
528,0100000,Female,urban,NA
529,0100000,Female,urban,Yes
530,0100000,Female,urban,No
531,0100000,Female,urban,No
532,0100000,Female,urban,NA
533,0100000,Female,urban,NA
534,0100000,Female,urban,No
535,0100000,Female,urban,Yes
536,0100000,Male,urban,Yes
537,0100000,Male,urban,No
538,0100000,Male,urban,Yes
539,0100000,Male,urban,No
540,0100000,Male,urban,No
541,0100000,Male,urban,Yes
542,0100000,Male,urban,No
543,0100000,Male,urban,NA
544,0100000,Male,urban,Yes
545,0100000,Male,urban,NA
546,0100000,Male,urban,No
547,0100000,Female,urban,No
548,0100000,Female,urban,Yes
549,0100000,Female,urban,Yes
550,0100000,Female,urban,NA
551,0110000,Male,urban,No
552,0110000,Male,urban,NA
553,0110000,Male,urban,NA
554,0110000,Male,urban,No
555,0110000,Male,urban,No
556,0110000,Male,urban,Yes
557,0110000,Male,urban,Yes
558,0100000,Female,urban,Yes
559,0100000,Female,urban,NA
560,0111000,Male,urban,No
561,0100000,Female,urban,Yes
562,0100000,Female,urban,NA
563,0111100,Male,urban,No
564,0100000,Female,urban,No
565,0100000,Female,urban,NA
566,0110000,Female,urban,NA
567,1000000,Female,urban,NA
568,1000000,Female,urban,Yes
569,1000000,Female,urban,No
570,1000000,Female,urban,Yes
571,1000000,Male,urban,NA
572,1000000,Male,urban,No
573,1000000,Male,urban,Yes
574,1000000,Male,urban,No
575,1000000,Male,urban,NA
576,1000000,Female,urban,No
577,1010000,Male,urban,Yes
578,1100000,Female,urban,NA
579,1100000,Female,urban,Yes
580,1100000,Male,urban,NA
581,1100000,Male,urban,NA
582,1100000,Male,urban,No
583,1100000,Male,urban,Yes
584,1100000,Female,urban,NA
585,1100000,Female,urban,No
586,1100000,Male,urban,Yes
587,1100000,Female,urban,Yes
588,1111110,Male,urban,NA
589,1100000,Female,urban,Yes
590,1100000,Female,urban,Yes
591,1100000,Female,urban,Yes
592,1100000,Female,urban,Yes
593,1100000,Female,urban,Yes
594,1100000,Female,urban,Yes
595,1100000,Female,urban,Yes
596,1100000,Female,urban,Yes
597,1100000,Female,urban,Yes
598,1100000,Female,urban,Yes
599,1100000,Female,urban,Yes
600,1100000,Female,urban,Yes
601,1100000,Female,urban,Yes
602,1100000,Female,urban,Yes
603,1100000,Female,urban,Yes
604,1100000,Female,urban,Yes
605,1100000,Female,urban,Yes
