ch,species,sex,wing_mm,fat,muscle,weight_g,blood_infection
010,RS,m,123,1,1,20.8,yes
100,RS,f,123,2,2,18,yes
100,RS,m,127,2,2,19.4,yes
101,RS,f,121,4,3,22.3,yes
100,RS,m,126,1,1,19.9,yes
110,RS,m,128,1,2,19.8,yes
100,RS,m,125,2,2,20.2,yes
100,RS,f,124,2,2,20.8,yes
100,RS,m,127,1,2,19.5,yes
100,RS,m,129,1,2,20.1,yes
100,RS,f,129,2,2,21,yes
100,RS,f,126,2,2,22.1,yes
110,RS,f,129,2,2,NA,yes
100,RS,f,126,2,2,20.8,yes
100,RS,m,124,0,2,19,yes
100,RS,f,125,1,2,18.8,yes
100,RS,m,126,2,2,19.4,yes
100,MS,m,114,2,2,20.5,yes
100,MS,f,111,3,3,20.5,yes
100,MS,f,112,3,3,24.5,yes
100,MS,m,111,1,1,19.7,yes
100,MS,m,110,0,1,17.3,yes
111,MS,m,111,1,1,19.2,yes
111,MS,m,108,1,1,18.4,yes
100,MS,m,110,0,1,19,yes
100,MS,m,111,2,2,20.5,yes
111,MS,f,111,3,2,20.1,yes
110,MS,f,110,2,3,20.5,yes
100,MS,m,110,2,3,18.3,yes
100,MS,m,115,1,3,19.4,yes
100,MS,f,105,2,3,17.7,yes
100,MS,f,111,1,1,17.8,yes
110,MS,m,110,0,2,19,yes
100,MS,f,106,2,2,20,yes
111,MS,f,113,3,2,21.3,yes
100,MS,f,115,3,2,19.2,yes
100,MS,m,112,0,1,18.1,yes
100,MS,m,111,1,1,19,yes
100,MS,m,113,2,3,19.2,yes
100,MS,f,116,1,0,18.2,yes
110,MS,m,113,1,3,17.8,yes
100,MS,m,113,1,1,18.5,yes
100,MS,f,111,3,2,20.6,yes
111,MS,m,114,0,1,17.3,yes
100,MS,f,112,3,1,20.9,yes
111,MS,m,111,0,2,20.3,yes
111,MS,m,112,1,2,17.5,yes
110,MS,m,112,2,2,21.1,yes
100,MS,f,112,2,2,18.9,yes
110,MS,m,113,0,2,18.1,yes
100,MS,m,113,1,3,21.9,yes
100,MS,f,109,2,2,19.5,yes
111,MS,m,111,0,2,18.6,yes
100,RS,m,125,2,2,18.5,yes
110,RS,f,123,3,1,21.8,yes
100,RS,m,110,2,1,21.3,yes
100,RS,m,128,0,2,19,yes
100,RS,f,127,3,2,22.2,yes
110,RS,f,125,3,2,21.4,yes
100,RS,f,108,2,1,16.3,yes
110,RS,m,126,0,1,22,yes
101,RS,f,122,3,3,23.1,yes
100,RS,m,131,1,1,21.1,yes
100,RS,m,126,1,2,20.5,yes
100,RS,m,126,1,1,19.5,yes
110,MS,f,109,2,2,17.9,yes
100,MS,m,109,2,2,20.1,yes
100,MS,m,114,1,3,19.2,yes
101,MS,f,115,0,1,17.1,yes
100,MS,f,112,2,2,21.6,yes
100,MS,f,110,3,1,20.1,yes
111,MS,f,111,2,2,19,yes
010,MS,m,114,1,1,19.6,yes
010,RS,m,124,1,1,18.5,yes
010,RS,f,123,1,1,18.6,yes
011,RS,f,121,2,1,20.7,yes
010,RS,m,126,1,1,19.4,yes
010,RS,m,125,1,1,18.5,yes
010,RS,f,126,3,2,21.8,yes
010,RS,f,125,2,1,20.1,yes
010,RS,m,124,1,1,16.7,yes
011,RS,f,128,2,2,20.8,yes
011,RS,f,122,1,1,19.9,yes
011,RS,m,127,1,1,18.3,yes
010,RS,f,128,2,2,21.3,yes
010,RS,f,125,4,2,22,yes
010,RS,m,121,1,1,17.4,yes
011,RS,f,124,1,1,19.8,yes
010,RS,f,123,2,1,22.2,yes
010,RS,f,128,3,2,17.5,yes
010,RS,f,122,1,1,19,yes
010,RS,m,122,1,1,15.8,yes
011,RS,m,121,1,3,18.9,yes
010,RS,f,122,1,2,22.7,yes
010,RS,m,125,1,1,19.9,no
010,RS,f,122,3,2,22.3,yes
010,RS,f,122,1,1,18.4,yes
011,RS,m,123,2,2,19,yes
011,RS,f,128,3,2,21.8,yes
010,RS,m,124,4,2,20.6,yes
010,RS,m,128,1,2,NA,yes
011,RS,f,125,1,1,21.1,yes
010,RS,m,125,1,1,NA,yes
010,RS,m,122,1,2,17.9,yes
010,RS,m,127,1,2,18.4,yes
011,RS,f,125,1,1,18.4,yes
010,RS,f,125,2,2,19.7,no
011,RS,f,126,3,1,22.1,yes
010,RS,m,125,1,1,20,no
011,RS,f,124,2,2,20.9,yes
010,RS,m,124,2,2,21.4,yes
010,RS,m,125,1,1,20.4,no
010,RS,f,123,3,2,21.2,yes
010,RS,f,123,3,2,23.2,yes
011,RS,f,123,2,2,NA,yes
011,RS,f,122,2,2,NA,yes
010,RS,f,128,3,2,23.7,yes
010,RS,m,120,2,2,NA,yes
011,MS,m,119,2,3,19.8,yes
010,MS,f,118,2,1,19.1,yes
010,MS,m,118,1,1,19,yes
011,MS,m,111,1,1,19.1,yes
011,MS,m,112,1,1,16.6,yes
010,MS,m,112,1,2,17.8,yes
010,MS,m,110,1,1,17.1,yes
011,MS,f,114,2,2,18,yes
010,MS,m,112,2,2,17.4,yes
010,MS,m,115,2,2,19,yes
010,MS,m,113,2,2,18.4,yes
011,MS,m,112,2,1,18.6,no
010,MS,m,110,1,2,19.8,yes
010,MS,f,110,3,3,20,yes
010,MS,m,110,2,3,19.4,yes
011,MS,m,112,1,2,19.6,yes
010,MS,f,111,2,2,19.5,yes
010,MS,m,110,2,2,19.2,yes
010,MS,m,113,3,2,19.3,no
010,MS,m,117,1,1,17.2,yes
011,MS,f,109,3,3,18.6,yes
010,MS,f,109,3,2,18.1,yes
010,MS,f,112,3,2,19,yes
010,MS,m,114,2,2,18.8,yes
011,MS,m,111,2,2,20.2,yes
010,MS,f,105,2,3,20.9,yes
010,MS,m,112,1,1,19.3,yes
010,MS,f,111,3,1,21.4,yes
010,MS,f,111,3,3,20.7,yes
011,MS,m,115,2,2,21.5,yes
011,MS,f,115,2,2,19.9,yes
010,MS,f,110,3,3,20,yes
011,MS,m,112,3,3,20.3,yes
010,MS,f,110,3,2,19.9,yes
010,MS,f,113,2,3,22,yes
010,MS,m,114,2,1,20.9,yes
100,MS,f,119,3,3,18.1,yes
100,MS,m,109,2,1,19.7,yes
100,MS,f,115,3,1,20.7,yes
101,MS,f,112,2,2,18.9,yes
110,MS,f,112,1,1,18.7,yes
111,MS,m,110,1,1,17.2,yes
100,MS,f,110,3,1,19.8,yes
100,MS,f,117,2,1,18.9,yes
110,MS,f,111,2,3,19.7,yes
100,MS,m,111,1,2,18.4,yes
100,MS,m,113,1,1,18.8,yes
100,MS,m,115,1,3,20,yes
111,MS,m,112,1,3,17.7,yes
110,MS,m,111,1,2,20.1,yes
100,MS,f,109,3,2,19.4,yes
100,MS,f,110,0,1,19,yes
100,MS,m,110,1,2,20.7,yes
100,MS,f,114,4,3,19.3,yes
100,MS,f,110,3,2,19.5,yes
100,MS,f,113,3,2,18.9,yes
100,MS,m,113,1,2,20.2,yes
101,MS,f,111,2,2,19.7,yes
111,MS,m,115,2,1,19.3,yes
100,MS,f,114,2,3,20.8,yes
100,MS,m,108,2,1,17.4,yes
110,MS,m,110,2,2,19.1,yes
111,MS,f,110,2,2,19.3,yes
011,MS,m,113,2,2,18.5,yes
010,MS,f,109,3,3,21.4,yes
010,MS,f,113,2,3,21.7,yes
010,MS,f,110,4,3,19.4,yes
010,MS,f,110,2,2,18.7,yes
011,MS,f,116,3,2,18.4,yes
010,MS,m,108,2,2,19.6,yes
010,RS,f,124,3,2,21.3,yes
010,MS,f,112,2,2,18.3,yes
011,MS,f,115,4,3,21.7,yes
010,MS,f,111,2,2,19.5,yes
011,MS,m,111,2,2,18.6,yes
011,MS,f,118,3,3,22.5,yes
010,MS,m,116,2,3,19.9,yes
010,MS,f,112,4,3,21.6,yes
010,MS,f,109,3,2,20.3,yes
011,RS,m,124,2,3,19.4,yes
010,MS,m,110,3,2,19.1,yes
010,MS,f,113,3,3,21,yes
011,MS,f,114,3,2,21,yes
010,MS,f,108,2,3,18.2,yes
011,MS,f,114,4,3,NA,yes
010,MS,f,110,2,3,20.4,yes
010,RS,f,124,2,3,19.8,yes
010,MS,f,111,3,2,19.7,yes
010,MS,f,106,3,3,19.1,yes
011,RS,f,122,3,2,22.8,yes
010,RS,m,125,2,2,NA,yes
010,RS,m,125,3,3,NA,yes
011,RS,f,124,3,2,22.9,yes
011,RS,m,122,2,2,18.9,yes
010,RS,m,122,2,2,19,yes
011,RS,m,127,1,2,17,yes
011,MS,f,118,3,3,NA,yes
010,RS,m,127,3,2,20.4,yes
010,RS,f,126,3,3,23.3,yes
010,RS,m,122,3,2,18.2,yes
010,RS,f,127,2,1,20.2,yes
010,RS,m,126,1,2,18.7,yes
010,RS,m,128,2,2,20.1,yes
010,RS,f,125,2,1,21.5,yes
010,RS,m,125,2,3,21.3,yes
010,RS,m,127,3,3,19.3,yes
010,RS,f,117,4,3,20.1,yes
010,RS,f,116,2,2,20,yes
010,RS,m,125,2,2,18.6,yes
010,RS,m,123,1,1,17.2,yes
010,RS,m,127,2,2,18.8,yes
011,RS,f,126,3,2,20.4,yes
010,RS,m,126,2,2,17.7,yes
010,RS,m,130,1,2,21.7,yes
010,RS,m,126,1,2,18.8,yes
010,RS,m,123,1,2,19.4,yes
010,RS,f,123,1,1,20.1,yes
010,RS,m,127,2,3,18.6,yes
010,RS,f,120,2,1,18.1,yes
010,RS,f,122,3,3,21.9,yes
001,MS,m?,114,3,2,20,yes
001,MS,m,114,2,1,17.7,yes
001,MS,?,112,3,1,20.4,yes
001,MS,m?,114,3,1,18.6,no
001,MS,m,114,2,2,19.6,yes
001,MS,m,119,3,2,18.5,yes
001,MS,m,114,2,2,18.1,yes
001,MS,m,109,3,2,19.3,yes
001,MS,f?,111,3,2,21.4,no
001,MS,f,110,2,2,18.3,no
001,MS,m,112,1,1,17.4,yes
001,MS,f,110,3,2,21.9,no
001,MS,?,111,4,2,20.2,yes
001,MS,f,110,2,1,18.2,yes
001,MS,f?,114,3,3,19.2,no
001,MS,f,117,5,2,20.1,no
001,MS,f,115,4,2,21.3,yes
001,MS,f,117,3,1,20.6,yes
001,MS,f,109,4,2,20.1,yes
001,MS,f,112,4,3,21,yes
001,MS,f,110,3,2,19.9,yes
001,MS,m,112,2,2,20,no
001,MS,f,112,3,2,19.4,yes
001,MS,f,111,3,2,21.8,yes
001,MS,f,109,3,1,19.1,yes
001,MS,f,112,3,2,20.3,yes
001,MS,f,108,4,2,20.3,no
001,MS,f,111,3,2,19.8,no
001,MS,m?,111,3,2,19.3,yes
001,MS,m?,110,3,2,19.7,yes
001,MS,f,114,3,3,19.9,yes
001,MS,f,113,2,2,18.4,yes
001,MS,f,109,3,2,20.8,no
001,MS,f,110,4,2,19.1,yes
001,MS,f,108,6,3,20.7,yes
001,MS,f,110,4,2,19.5,yes
001,MS,f,109,4,2,20,no
001,MS,f,105,3,2,18.6,yes
001,MS,m,110,2,2,18.8,yes
001,MS,f,114,4,2,20.7,yes
001,MS,f,110,3,2,19.6,no
001,MS,f,116,2,2,21.4,no
001,MS,f,115,3,2,21.3,yes
001,MS,f,107,2,2,17.7,no
001,MS,f,117,3,3,20.4,yes
001,MS,f,117,3,2,19.6,yes
001,MS,f,112,3,2,20,yes
001,MS,f,106,3,2,17.4,yes
001,MS,f,112,3,2,20.6,yes
001,MS,f,106,4,3,22,yes
001,MS,f,116,3,2,22.4,yes
010,RS,f,127,1,1,21,yes
100,RS,f,126,2,1,22.1,yes
100,RS,m,128,1,1,19.4,yes
100,MS,f,114,4,1,17.6,yes
110,MS,f,113,2,2,18.2,yes
100,MS,f,110,3,3,19.5,yes
100,MS,m,111,2,2,21.3,yes
100,MS,m,108,0,2,20.2,yes
100,MS,m,110,2,2,19.3,yes
100,MS,f,109,2,3,18.8,yes
100,MS,f,111,2,1,19.4,yes
100,MS,m,112,1,2,20.8,yes
100,MS,m,113,2,1,19.4,yes
110,MS,m,108,1,2,18,yes
100,MS,m,118,2,2,18.8,yes
110,MS,m,111,2,2,19.3,yes
100,MS,f,107,3,1,18,yes
110,MS,m,111,2,1,21.7,no
100,MS,f,115,2,1,NA,yes
100,MS,m,109,2,2,20.1,yes
100,MS,m,113,1,2,20.6,no
110,MS,f,111,3,2,18.9,yes
110,MS,m,112,3,2,18.9,yes
110,MS,m,112,2,2,22.7,yes
111,MS,f,117,3,3,20.3,yes
100,RS,f,125,1,2,18.6,yes
100,RS,f,127,2,1,19.8,yes
110,RS,m,126,1,1,19.5,yes
100,RS,f,126,3,1,21.6,yes
101,RS,m,121,0,1,16.4,yes
100,RS,m,119,1,1,18,yes
100,RS,f,122,2,1,18,yes
111,RS,m,114,1,1,17.9,yes
111,RS,m,114,1,1,NA,yes
100,RS,m,130,0,1,18.7,yes
100,RS,f,121,1,1,18.1,yes
100,RS,f,130,0,1,18.5,yes
100,RS,f,121,2,2,18.4,yes
110,RS,f,124,0,1,17.2,yes
110,RS,f,118,1,1,17,yes
100,RS,m,125,0,1,19.4,yes
110,RS,m,126,1,1,17.5,yes
100,RS,m,127,0,2,18.1,yes
100,RS,f,125,0,1,19.2,yes
100,RS,f,129,2,1,18.1,yes
100,RS,m,127,1,2,18.6,yes
100,RS,f,124,3,1,21.2,yes
111,RS,f,126,1,1,18.4,yes
111,RS,f,123,1,0,18.3,yes
100,RS,f,121,2,1,18,yes
010,RS,m,125,1,1,20,yes
100,RS,m,122,1,0,19.3,no
111,RS,m,127,1,1,18.5,yes
100,RS,m,126,1,1,18.5,yes
110,RS,f,123,2,1,17.1,yes
100,RS,m,134,0,2,19.7,yes
100,RS,f,122,0,1,18.3,yes
100,RS,f,122,3,2,20.2,yes
100,RS,m,128,1,1,18.7,yes
100,RS,m,124,2,2,20.3,no
100,RS,m,129,1,1,21.2,no
100,RS,f,121,0,1,18.6,yes
100,RS,f,125,0,0,19.4,yes
110,RS,f,130,2,2,20.1,yes
100,RS,f,122,2,2,21.5,yes
100,RS,m,123,1,2,18.1,yes
110,RS,m,123,1,1,18.1,yes
111,RS,f,127,1,1,18.9,yes
100,RS,f,129,0,1,19,yes
100,RS,m,125,1,2,18.7,yes
110,RS,f,128,1,1,17.6,yes
100,RS,m,126,0,1,19.5,yes
100,RS,f,123,2,1,19,yes
111,RS,f,124,2,1,20.2,yes
100,RS,f,122,1,2,18.8,yes
100,RS,m,127,0,1,19.3,no
110,RS,f,121,0,1,18.1,yes
101,RS,f,125,1,2,22.5,yes
100,RS,m,126,1,1,18,yes
100,RS,m,126,1,1,18.9,yes
101,RS,m,127,1,1,19.5,yes
100,RS,m,114,1,2,17.8,yes
110,RS,m,119,2,2,18.3,yes
100,RS,f,126,2,2,21,yes
100,RS,m,123,0,1,18.5,yes
110,RS,f,126,2,2,22,yes
100,RS,f,124,3,2,22.8,yes
100,RS,m,129,2,2,19.2,yes
100,RS,m,125,2,2,19.9,yes
100,RS,f,123,2,3,23.4,yes
100,RS,m,122,1,1,17.7,yes
101,RS,f,123,3,1,20.3,yes
100,RS,m,123,1,1,17.2,yes
100,RS,m,118,0,0,18.1,yes
110,RS,f,124,2,1,19.9,yes
111,RS,f,121,0,1,18.4,yes
100,RS,f,128,2,2,22.6,yes
111,RS,m,123,0,1,19.7,yes
100,RS,m,123,1,1,19,yes
100,RS,m,130,0,1,20.5,yes
100,RS,m,130,0,1,NA,yes
100,RS,f,123,0,1,NA,yes
110,MS,m,111,0,1,17.8,yes
100,RS,m,113,1,2,21,yes
111,MS,m,114,1,1,20.5,yes
010,MS,m,113,3,3,17.7,no
100,RS,f,122,2,1,21.2,yes
100,RS,f,121,2,1,19.8,yes
110,RS,m,128,0,1,18.3,yes
110,RS,m,129,0,1,19.6,yes
110,RS,m,122,0,1,18.3,yes
100,RS,m,117,0,1,18.1,yes
100,RS,f,125,2,1,19.9,yes
100,RS,f,128,2,1,18.9,yes
100,RS,m,101,0,1,17.6,yes
100,RS,m,121,2,1,19,yes
110,RS,f,120,2,2,21,yes
100,RS,m,126,0,1,18.7,yes
100,RS,m,123,0,1,18,yes
110,RS,f,126,0,0,17.5,yes
100,RS,m,126,0,1,19.1,yes
010,RS,f,123,2,2,21.3,yes
001,RS,f,126,2,2,22.7,no
001,RS,f,130,2,2,20.4,yes
001,RS,m,129,2,1,18.8,yes
001,RS,f,127,3,1,22.4,no
001,RS,m,132,1,2,17.7,yes
001,RS,f,123,3,1,18.8,yes
001,RS,f,125,2,2,20.6,yes
001,RS,f,131,2,2,NA,yes
001,RS,f,121,1,1,20.7,yes
001,RS,m,126,1,2,18.3,yes
001,RS,m,127,1,2,17.9,no
001,RS,f,124,2,1,19.4,no
001,RS,m?,125,2,2,18.4,no
001,RS,f,123,4,2,18.6,no
001,RS,f,127,3,2,20.7,no
001,RS,f,128,2,2,19.4,no
001,RS,f,123,4,2,21.8,yes
001,RS,f,128,3,2,19.3,yes
001,RS,m,120,2,1,16.1,yes
001,RS,m?,124,2,2,16.9,yes
001,RS,f,120,4,2,21.8,no
001,RS,m?,122,2,2,18.1,yes
001,RS,f,126,4,2,20.5,yes
001,RS,f,119,3,2,19.6,yes
001,RS,f,126,2,2,22,no
001,RS,m,126,0,1,17.7,yes
001,RS,m,123,1,2,18.2,yes
001,RS,f,125,3,2,20.1,yes
001,RS,f,129,1,2,20.7,yes
001,RS,f,125,3,2,21.8,no
001,RS,f,126,4,2,21.7,yes
001,RS,f,121,1,2,20.6,no
001,RS,f,120,4,2,20,yes
001,RS,f,124,2,2,19.2,yes
001,RS,m,129,2,2,20.8,yes
001,RS,f,122,2,2,18.3,no
001,RS,f,125,2,2,21.6,yes
001,RS,f,125,2,2,21.8,yes
001,RS,f,124,3,2,21.6,yes
001,RS,m,128,1,1,18,no
001,RS,f,121,4,2,21.6,no
001,RS,f,127,4,2,24,yes
001,RS,m,128,2,2,18.8,no
001,RS,f,126,1,2,21.4,yes
001,RS,f,122,1,1,18.7,yes
001,RS,f,125,3,2,20.5,no
001,RS,m,129,2,1,18.8,yes
001,RS,f,122,3,2,21.3,no
001,RS,m,132,2,2,20.9,no
001,RS,m,126,1,1,16.3,no
001,RS,m,123,1,1,18.4,no
001,RS,m,127,3,2,18.6,yes
001,RS,m,121,1,2,17.3,yes
001,RS,f,121,3,3,19.8,yes
001,RS,m,124,3,2,19,yes
001,RS,f,128,3,1,20.9,yes
001,RS,f,122,4,2,19.9,yes
001,RS,m,125,1,1,19.4,no
001,RS,m,126,2,1,19.1,yes
001,RS,m?,128,2,1,20.7,no
001,RS,m,125,2,2,20,no
001,RS,m?,127,2,2,19.6,yes
001,RS,f,125,2,1,20.2,yes
001,RS,f,124,2,2,19.5,no
001,RS,f,125,1,2,18.9,no
001,RS,f,126,3,2,22.1,yes
001,RS,f?,126,1,1,20,yes
001,RS,m,128,2,1,19.4,no
001,RS,f,126,3,2,20,no
001,RS,f,125,3,1,19.8,yes
001,RS,f,126,1,1,16.8,yes
001,RS,f,122,3,2,21,yes
001,RS,m,127,1,1,18.5,no
001,RS,f,120,2,1,18.5,no
001,RS,f,118,3,1,19.1,yes
001,RS,f?,129,1,1,17.5,no
001,RS,?,128,2,2,20.5,yes
001,RS,f,122,2,1,18.9,yes
001,RS,f,123,2,2,19.2,yes
001,RS,f,118,2,1,17.6,no
001,RS,m,126,1,1,NA,yes
001,RS,f,128,3,1,19.6,no
001,RS,m,129,2,2,18.6,no
001,RS,?,124,3,1,18.9,no
001,RS,f,125,3,2,18.7,yes
001,RS,m,126,2,1,16.4,yes
001,RS,m,126,1,1,17.5,no
001,RS,f,124,2,1,19.7,no
001,RS,f,122,2,2,18.6,yes
001,RS,f,122,2,2,19,no
001,RS,f,125,4,2,21.3,no
001,RS,m,125,3,2,19.2,no
001,RS,m,127,1,2,19.1,no
001,RS,m,124,2,2,18.3,no
001,RS,m,119,3,2,19.3,yes
001,RS,f,126,2,2,18.3,yes
001,RS,m,130,1,1,19.8,yes
001,RS,f,129,2,2,17.3,yes
001,RS,m,130,2,2,19,no
001,RS,m,125,3,2,18.3,yes
001,RS,m,124,2,2,19.9,yes
001,RS,m,130,3,2,17.7,no
001,RS,f,125,3,2,23.7,yes
001,RS,m,129,1,1,18.6,no
010,RS,m,127,2,2,19,yes
001,RS,f,126,3,2,22.6,yes
010,MS,f,116,3,3,21.5,yes
